Schulnummer;Anzahl;
"107499";"211";
"107505";"206";
"107517";"241";
"107542";"261";
"107578";"115";
"107580";"265";
"107608";"321";
"107610";"216";
"107621";"195";
"107657";"215";
"107670";"281";
"107694";"129";
"107700";"277";
"107712";"223";
"107724";"346";
"107748";"191";
"107750";"188";
"107761";"146";
"107773";"185";
"107785";"319";
"107797";"268";
"107803";"307";
"107815";"227";
"107827";"235";
"107839";"213";
"107840";"292";
"107852";"184";
"107864";"267";
"107888";"265";
"107890";"337";
"107906";"236";
"107918";"234";
"107931";"260";
"107943";"238";
"107955";"222";
"107967";"298";
"107979";"109";
"107980";"224";
"107992";"106";
"108017";"434";
"108029";"179";
"108030";"349";
"108054";"135";
"108080";"242";
"108108";"100";
"108110";"183";
"108133";"185";
"108145";"205";
"108157";"423";
"108169";"208";
"108170";"155";
"108182";"187";
"108224";"264";
"108236";"251";
"108248";"275";
"108261";"232";
"108273";"259";
"108297";"112";
"108327";"165";
"108339";"193";
"108340";"265";
"108352";"118";
"108376";"193";
"108388";"253";
"108390";"233";
"108406";"252";
"108418";"444";
"108455";"196";
"108479";"207";
"108509";"377";
"108534";"198";
"108546";"104";
"108560";"277";
"108571";"334";
"108583";"208";
"108649";"200";
"108650";"299";
"108662";"171";
"108674";"229";
"108686";"158";
"108698";"170";
"108704";"192";
"108716";"192";
"108728";"207";
"108730";"160";
"108741";"197";
"108765";"289";
"108790";"206";
"108819";"245";
"108820";"287";
"108832";"286";
"108844";"171";
"108856";"264";
"108868";"100";
"108881";"255";
"108923";"311";
"108959";"212";
"108960";"221";
"108972";"183";
"108996";"202";
"109009";"186";
"109010";"260";
"109046";"240";
"109060";"266";
"109083";"246";
"109101";"206";
"109113";"324";
"109125";"346";
"109150";"377";
"109186";"272";
"109198";"280";
"109228";"212";
"109230";"215";
"109253";"280";
"109265";"459";
"109277";"317";
"109289";"219";
"109290";"189";
"109320";"180";
"109332";"231";
"109344";"133";
"109356";"296";
"109368";"375";
"109370";"225";
"109400";"170";
"109411";"190";
"109423";"343";
"109435";"176";
"109447";"216";
"109459";"251";
"109472";"431";
"109502";"257";
"109526";"214";
"109538";"267";
"109551";"184";
"109575";"338";
"109630";"237";
"109642";"222";
"109654";"307";
"109678";"289";
"109680";"183";
"109733";"174";
"109745";"178";
"109757";"182";
"109769";"194";
"109770";"160";
"109782";"242";
"109824";"257";
"109848";"197";
"109850";"185";
"109861";"250";
"109873";"143";
"109885";"146";
"109897";"260";
"109915";"266";
"109927";"294";
"109940";"200";
"109976";"242";
"109988";"206";
"110024";"252";
"110036";"188";
"110050";"99";
"110061";"294";
"110085";"244";
"110115";"145";
"110139";"165";
"110140";"271";
"110164";"158";
"110176";"108";
"110188";"198";
"110190";"211";
"110206";"236";
"110220";"248";
"110231";"244";
"110243";"196";
"110280";"237";
"110309";"166";
"110310";"212";
"110322";"145";
"110334";"280";
"110346";"147";
"110358";"152";
"110360";"244";
"110383";"341";
"110395";"202";
"110401";"254";
"110425";"229";
"110437";"200";
"110449";"210";
"110474";"247";
"110486";"225";
"110498";"155";
"110504";"235";
"110528";"225";
"110530";"304";
"110541";"177";
"110553";"174";
"110577";"449";
"110589";"415";
"110590";"393";
"110619";"266";
"110620";"204";
"110644";"265";
"110670";"163";
"110681";"290";
"110700";"197";
"110723";"164";
"110735";"236";
"110747";"324";
"110759";"381";
"110760";"204";
"110784";"213";
"110796";"276";
"110802";"391";
"110814";"217";
"110838";"196";
"110851";"268";
"110875";"220";
"110887";"174";
"110905";"227";
"110942";"307";
"110966";"300";
"110978";"187";
"110991";"249";
"111004";"151";
"111030";"262";
"111041";"182";
"111053";"294";
"111077";"275";
"111089";"218";
"111090";"190";
"111107";"212";
"111119";"236";
"111132";"266";
"111144";"289";
"111168";"232";
"111170";"212";
"111181";"268";
"111200";"229";
"111211";"179";
"111223";"262";
"111235";"202";
"111259";"275";
"111260";"198";
"111272";"227";
"111284";"251";
"111296";"197";
"111302";"224";
"111314";"286";
"111338";"246";
"111340";"249";
"111363";"354";
"111375";"306";
"111387";"324";
"111399";"299";
"111405";"162";
"111417";"204";
"111429";"277";
"111430";"164";
"111442";"141";
"111454";"190";
"111466";"302";
"111478";"202";
"111480";"179";
"111491";"210";
"111510";"409";
"111521";"206";
"111545";"211";
"111557";"379";
"111569";"234";
"111570";"392";
"111594";"279";
"111624";"187";
"111636";"179";
"111648";"213";
"111650";"207";
"111661";"209";
"111673";"200";
"111697";"356";
"111703";"196";
"111715";"257";
"111727";"383";
"111739";"220";
"111740";"221";
"111752";"212";
"111776";"336";
"111788";"377";
"111790";"273";
"111806";"206";
"111820";"298";
"111831";"289";
"111879";"224";
"111880";"192";
"111909";"307";
"111910";"270";
"111922";"180";
"111934";"204";
"111946";"370";
"111958";"192";
"111971";"274";
"111983";"230";
"111995";"173";
"112008";"402";
"112010";"320";
"112021";"175";
"112033";"235";
"112045";"295";
"112057";"243";
"112082";"249";
"112094";"200";
"112100";"300";
"112112";"197";
"112124";"220";
"112136";"172";
"112148";"195";
"112150";"209";
"112173";"203";
"112197";"324";
"112203";"322";
"112239";"177";
"112240";"212";
"112252";"267";
"112264";"204";
"112288";"374";
"112290";"187";
"112306";"237";
"112318";"188";
"112320";"181";
"112331";"197";
"112343";"199";
"112355";"231";
"112367";"274";
"112379";"306";
"112380";"210";
"112409";"174";
"112410";"370";
"112422";"379";
"112434";"208";
"112446";"107";
"112458";"314";
"112460";"213";
"112471";"297";
"112483";"371";
"112495";"396";
"112501";"228";
"112513";"187";
"112525";"193";
"112537";"258";
"112549";"201";
"112562";"326";
"112574";"240";
"112586";"187";
"112604";"316";
"112616";"300";
"112628";"193";
"112630";"187";
